run,http_status,time_total_seconds,latency_ms
1,200,0.016852,16.852
2,200,0.011606,11.606
3,200,0.017306,17.306
4,200,0.012182,12.182
5,200,0.006916,6.916
6,200,0.010534,10.534
7,200,0.012386,12.386
8,200,0.009604,9.604
9,200,0.006025,6.025
10,200,0.017162,17.162
11,200,0.012103,12.103
12,200,0.013386,13.386
13,200,0.007904,7.904
14,200,0.015785,15.785
15,200,0.016817,16.817
16,200,0.007626,7.626
17,200,0.017509,17.509
18,200,0.010056,10.056
19,200,0.013088,13.088
20,200,0.013659,13.659
21,200,0.013942,13.942
22,200,0.009898,9.898
23,200,0.016465,16.465
24,200,0.016478,16.478
25,200,0.015301,15.301
26,200,0.017813,17.813
27,200,0.008965,8.965
28,200,0.014462,14.462
29,200,0.020179,20.179
30,200,0.012267,12.267
